cli,psi,task_complexity_sovcm,session_minutes,vsi,fatigue,engagement,arm_id,font_size_pt,line_spacing,letter_spacing_px,reward
0.2488,0.1508,0.7794,32,0.7179,0.8638,0.7483,2,20,1.8,3.5,0.5012
0.6185,0.6058,0.7553,1,0.6566,0.7903,0.3873,0,12,1.2,1.0,0.1343
0.2999,0.1704,0.2152,16,0.1413,0.5739,0.4004,2,20,1.8,3.5,0.1923
0.2812,0.6907,0.4273,29,0.752,0.7376,0.6365,2,20,1.8,3.5,1.0
0.5558,0.4718,0.237,18,0.7722,0.6375,0.6153,3,18,1.6,2.5,0.6741
0.1755,0.3555,0.4038,10,0.584,0.4185,0.3625,3,18,1.6,2.5,0.0729
0.7285,0.7505,0.4372,19,0.5586,0.2535,0.3898,1,16,1.5,2.0,1.0
0.6363,0.4596,0.2928,43,0.5251,0.6206,0.783,1,16,1.5,2.0,0.8272
0.5478,0.4339,0.6122,39,0.4817,0.7753,0.1016,3,18,1.6,2.5,0.2254
0.7308,0.2071,0.6052,5,0.8766,0.3435,0.5872,2,20,1.8,3.5,0.6373
0.2769,0.7509,0.6458,20,0.8552,0.8413,0.7544,2,20,1.8,3.5,1.0
0.8153,0.3446,0.542,18,0.2848,0.2598,0.7815,3,18,1.6,2.5,0.186
0.2394,0.3619,0.643,4,0.4147,0.835,0.7047,1,16,1.5,2.0,0.9929
0.372,0.7871,0.3519,18,0.3084,0.7561,0.8314,3,18,1.6,2.5,0.3856
0.2835,0.1629,0.4048,23,0.1688,0.2171,0.4377,2,20,1.8,3.5,0.2365
0.7188,0.358,0.2278,8,0.3458,0.2166,0.2724,0,12,1.2,1.0,0.5036
0.4349,0.5193,0.5735,26,0.6505,0.2589,0.4594,3,18,1.6,2.5,0.1749
0.5441,0.2355,0.6725,9,0.3754,0.6869,0.8755,0,12,1.2,1.0,0.6244
0.8759,0.4174,0.4615,14,0.4781,0.7243,0.1551,0,12,1.2,1.0,0.2516
0.8405,0.246,0.3783,42,0.3758,0.7647,0.3297,3,18,1.6,2.5,0.1961
0.2497,0.1501,0.4492,44,0.5043,0.4259,0.2635,2,20,1.8,3.5,0.1663
0.3023,0.1257,0.7787,36,0.2716,0.2909,0.5641,3,18,1.6,2.5,0.0
0.8102,0.4415,0.2815,15,0.1906,0.4578,0.5618,2,20,1.8,3.5,0.6542
0.3347,0.6195,0.2001,44,0.3537,0.2927,0.182,3,18,1.6,2.5,0.2275
0.1453,0.5943,0.3893,18,0.8726,0.3199,0.5958,2,20,1.8,3.5,0.7418
0.5075,0.1666,0.3226,8,0.3759,0.1008,0.3567,3,18,1.6,2.5,0.0
0.8773,0.7833,0.6541,1,0.6275,0.5153,0.5317,3,18,1.6,2.5,0.6455
0.1017,0.5125,0.6614,13,0.7585,0.7752,0.5189,0,12,1.2,1.0,0.5314
0.2141,0.8545,0.2293,41,0.5192,0.6882,0.66,0,12,1.2,1.0,0.5624
0.7269,0.5862,0.7101,32,0.8851,0.8046,0.8162,0,12,1.2,1.0,0.0634
0.8575,0.2132,0.2467,40,0.8465,0.8743,0.4948,1,16,1.5,2.0,0.5966
0.5306,0.1908,0.5919,20,0.625,0.2924,0.3107,0,12,1.2,1.0,0.4939
0.472,0.7642,0.6082,21,0.7217,0.1517,0.6879,1,16,1.5,2.0,0.9799
0.3417,0.5181,0.7443,38,0.8995,0.5711,0.3017,1,16,1.5,2.0,0.9589
0.6883,0.5252,0.2784,28,0.7482,0.7122,0.7046,3,18,1.6,2.5,0.5928
0.4942,0.6292,0.2994,18,0.1882,0.7783,0.1959,2,20,1.8,3.5,0.626
0.2776,0.8427,0.5948,39,0.1349,0.5857,0.4024,1,16,1.5,2.0,1.0
0.7342,0.6496,0.3607,2,0.4976,0.4619,0.6384,0,12,1.2,1.0,0.5616
0.4959,0.4846,0.5025,30,0.2367,0.115,0.2775,3,18,1.6,2.5,0.0
0.5899,0.7741,0.6278,22,0.1006,0.2521,0.1697,3,18,1.6,2.5,0.16
0.4416,0.349,0.3876,16,0.1604,0.3507,0.4999,3,18,1.6,2.5,0.0
0.65,0.586,0.6803,30,0.42,0.7929,0.6057,3,18,1.6,2.5,0.6202
0.1205,0.6264,0.7796,5,0.2216,0.4916,0.7982,3,18,1.6,2.5,0.1738
0.5145,0.8981,0.4896,13,0.1309,0.4691,0.5117,0,12,1.2,1.0,0.662
0.7336,0.1503,0.6901,29,0.1112,0.5376,0.5238,0,12,1.2,1.0,0.7174
0.4684,0.8363,0.6058,40,0.8472,0.2304,0.2401,1,16,1.5,2.0,0.9078
0.286,0.1568,0.3858,37,0.2782,0.1855,0.6204,2,20,1.8,3.5,0.1591
0.6227,0.2984,0.6537,43,0.309,0.6115,0.712,3,18,1.6,2.5,0.1672
0.3329,0.2715,0.588,22,0.7698,0.1715,0.1262,1,16,1.5,2.0,0.8515
0.4795,0.6117,0.2684,8,0.7504,0.8276,0.8198,2,20,1.8,3.5,1.0
0.8194,0.5301,0.244,41,0.1021,0.3286,0.1371,3,18,1.6,2.5,0.3093
0.5539,0.6103,0.2842,15,0.3125,0.1412,0.1282,0,12,1.2,1.0,0.5859
0.8991,0.7427,0.4171,36,0.8439,0.6296,0.7696,1,16,1.5,2.0,0.7135
0.2354,0.1129,0.361,34,0.8268,0.3469,0.7801,2,20,1.8,3.5,0.6445
0.6236,0.673,0.5069,27,0.7346,0.5715,0.1314,2,20,1.8,3.5,1.0
0.5776,0.8003,0.2031,32,0.3944,0.7424,0.4875,0,12,1.2,1.0,0.1408
0.6546,0.5035,0.5442,31,0.68,0.1125,0.1013,1,16,1.5,2.0,0.967
0.1213,0.3698,0.4198,29,0.7179,0.7575,0.3241,2,20,1.8,3.5,0.559
0.8846,0.135,0.6883,3,0.4881,0.6132,0.4822,0,12,1.2,1.0,0.5165
0.1203,0.2234,0.532,24,0.5387,0.4996,0.8905,3,18,1.6,2.5,0.0
0.4084,0.1592,0.6699,32,0.2089,0.1454,0.2539,0,12,1.2,1.0,1.0
0.1336,0.4292,0.4886,9,0.1441,0.3515,0.6204,0,12,1.2,1.0,0.9296
0.2013,0.1735,0.3121,15,0.8453,0.5173,0.8218,3,18,1.6,2.5,0.2085
0.6258,0.619,0.4696,17,0.48,0.7852,0.2087,2,20,1.8,3.5,0.9874
0.4025,0.2029,0.3075,25,0.4445,0.6898,0.5453,0,12,1.2,1.0,0.4374
0.1094,0.5073,0.3966,25,0.4612,0.2361,0.3573,0,12,1.2,1.0,0.9585
0.5887,0.8918,0.5767,16,0.6327,0.7927,0.8302,0,12,1.2,1.0,0.1702
0.1961,0.6145,0.2858,38,0.2694,0.1776,0.4563,0,12,1.2,1.0,1.0
0.6283,0.6556,0.6822,16,0.5579,0.6703,0.3432,0,12,1.2,1.0,0.2113
0.6611,0.7468,0.417,19,0.6314,0.8431,0.73,2,20,1.8,3.5,0.921
0.6005,0.8662,0.427,6,0.5314,0.4502,0.5562,3,18,1.6,2.5,0.6198
0.3544,0.7089,0.5196,22,0.107,0.7155,0.2259,3,18,1.6,2.5,0.1923
0.7962,0.7272,0.5563,2,0.8683,0.3611,0.1226,0,12,1.2,1.0,0.2016
0.6909,0.7664,0.6818,41,0.6055,0.8254,0.6309,2,20,1.8,3.5,1.0
0.8603,0.8725,0.5767,19,0.8495,0.7225,0.195,2,20,1.8,3.5,0.8847
0.6795,0.6912,0.4406,27,0.3174,0.3649,0.4647,0,12,1.2,1.0,0.699
0.4605,0.3977,0.3489,11,0.73,0.3906,0.274,3,18,1.6,2.5,0.1272
0.6303,0.7181,0.671,21,0.7036,0.4887,0.3139,3,18,1.6,2.5,0.4991
0.327,0.1796,0.2863,20,0.2574,0.7682,0.5297,0,12,1.2,1.0,0.6191
0.2899,0.5719,0.784,6,0.778,0.8513,0.7295,1,16,1.5,2.0,0.7159
0.3416,0.1267,0.642,8,0.6514,0.129,0.2116,3,18,1.6,2.5,0.0
0.8914,0.1679,0.3907,22,0.1896,0.1941,0.155,2,20,1.8,3.5,0.5958
0.3292,0.1316,0.5011,6,0.6351,0.6474,0.5405,2,20,1.8,3.5,0.531
0.1499,0.2526,0.622,40,0.2911,0.1216,0.7948,1,16,1.5,2.0,0.4991
0.1484,0.3435,0.3287,1,0.3065,0.3376,0.6652,0,12,1.2,1.0,0.9599
0.1364,0.3583,0.6005,14,0.2529,0.2343,0.5784,1,16,1.5,2.0,0.619
0.1772,0.6998,0.4063,37,0.4971,0.2054,0.2542,3,18,1.6,2.5,0.198
0.2005,0.3524,0.3821,5,0.8795,0.6537,0.2884,3,18,1.6,2.5,0.2777
0.1481,0.149,0.7645,2,0.2586,0.7251,0.1611,2,20,1.8,3.5,0.1724
0.2566,0.4589,0.3374,14,0.8415,0.8359,0.4946,0,12,1.2,1.0,0.539
0.2614,0.4176,0.3353,29,0.4391,0.6959,0.6958,0,12,1.2,1.0,0.5511
0.4571,0.5823,0.7599,30,0.4239,0.8245,0.539,0,12,1.2,1.0,0.6112
0.4701,0.8368,0.7342,2,0.104,0.5529,0.2631,1,16,1.5,2.0,1.0
0.4438,0.46,0.7164,29,0.3361,0.6059,0.5976,0,12,1.2,1.0,0.6723
0.2424,0.3216,0.7354,44,0.4934,0.8539,0.1947,1,16,1.5,2.0,0.8662
0.6947,0.4883,0.7694,36,0.7837,0.2581,0.3834,0,12,1.2,1.0,0.4871
0.4962,0.2353,0.3531,3,0.3441,0.2311,0.6483,0,12,1.2,1.0,1.0
0.6324,0.6408,0.2619,41,0.69,0.4857,0.6041,0,12,1.2,1.0,0.2857
0.409,0.4504,0.6154,32,0.5596,0.7089,0.6148,3,18,1.6,2.5,0.1577
0.7486,0.2978,0.3334,1,0.578,0.4597,0.6601,3,18,1.6,2.5,0.2356
0.7469,0.5222,0.7226,20,0.3082,0.8724,0.4219,2,20,1.8,3.5,1.0
0.3044,0.4337,0.643,38,0.8512,0.7383,0.3593,2,20,1.8,3.5,0.529
0.8369,0.8633,0.7403,24,0.7367,0.6183,0.3558,2,20,1.8,3.5,1.0
0.2821,0.445,0.4061,6,0.7391,0.4775,0.5216,0,12,1.2,1.0,0.6028
0.6515,0.2407,0.5005,18,0.8773,0.1481,0.8427,1,16,1.5,2.0,0.9406
0.1874,0.825,0.5887,10,0.5707,0.2329,0.1519,1,16,1.5,2.0,0.9362
0.316,0.2435,0.442,23,0.4028,0.4189,0.1966,3,18,1.6,2.5,0.0
0.2162,0.3706,0.7674,41,0.3705,0.6721,0.1264,1,16,1.5,2.0,1.0
0.5642,0.8928,0.7805,30,0.3721,0.54,0.8471,2,20,1.8,3.5,0.5681
0.2194,0.8772,0.7413,16,0.6255,0.8026,0.2764,0,12,1.2,1.0,0.1645
0.244,0.3857,0.7659,12,0.1186,0.7931,0.655,3,18,1.6,2.5,0.2883
0.4695,0.8852,0.6489,5,0.4416,0.4139,0.2644,3,18,1.6,2.5,0.2205
0.8212,0.5726,0.5349,32,0.6918,0.4255,0.7475,1,16,1.5,2.0,0.5085
0.2979,0.3267,0.214,31,0.6613,0.4307,0.7364,2,20,1.8,3.5,0.4684
0.6894,0.6386,0.4698,12,0.3305,0.2953,0.121,2,20,1.8,3.5,0.6981
0.2801,0.4739,0.6874,23,0.3575,0.4575,0.4964,1,16,1.5,2.0,1.0
0.5799,0.1232,0.4917,31,0.473,0.8826,0.224,2,20,1.8,3.5,0.5195
0.3334,0.8226,0.3078,18,0.4395,0.8338,0.5461,2,20,1.8,3.5,1.0
0.5693,0.6691,0.2192,14,0.2886,0.4325,0.5611,0,12,1.2,1.0,0.6231
0.5526,0.2452,0.5155,14,0.6166,0.6095,0.6281,1,16,1.5,2.0,1.0
0.1221,0.7098,0.7129,42,0.7059,0.184,0.534,0,12,1.2,1.0,0.6483
0.2824,0.6177,0.4416,14,0.5853,0.5054,0.1338,0,12,1.2,1.0,0.7192
0.8894,0.3738,0.7924,25,0.4715,0.8365,0.7258,3,18,1.6,2.5,0.4993
0.198,0.7243,0.3419,26,0.2887,0.7271,0.815,2,20,1.8,3.5,0.6019
0.4466,0.2166,0.3416,36,0.6846,0.7153,0.7512,3,18,1.6,2.5,0.2641
0.4529,0.3785,0.2164,37,0.7919,0.3744,0.512,3,18,1.6,2.5,0.0872
0.626,0.6199,0.318,24,0.702,0.1138,0.5943,2,20,1.8,3.5,0.5436
0.8081,0.855,0.5502,16,0.8505,0.3158,0.494,1,16,1.5,2.0,0.7153
0.2229,0.8154,0.3503,27,0.7026,0.6335,0.1872,3,18,1.6,2.5,0.2062
0.8415,0.3927,0.2122,15,0.6501,0.5641,0.3903,2,20,1.8,3.5,0.8947
0.2836,0.5734,0.7977,37,0.6239,0.5556,0.6643,3,18,1.6,2.5,0.1976
0.7779,0.5655,0.3485,22,0.2963,0.5285,0.7437,2,20,1.8,3.5,0.4437
0.3163,0.6834,0.2743,23,0.3519,0.5937,0.7899,2,20,1.8,3.5,0.6101
0.6572,0.6467,0.6542,2,0.4864,0.209,0.6568,3,18,1.6,2.5,0.1719
0.7495,0.7344,0.6399,2,0.4806,0.8328,0.4488,1,16,1.5,2.0,0.6547
0.6468,0.1926,0.6616,43,0.8857,0.5547,0.2344,0,12,1.2,1.0,0.5855
0.7756,0.2638,0.2248,25,0.6125,0.2346,0.5493,2,20,1.8,3.5,0.6186
0.7909,0.7527,0.2792,30,0.5023,0.473,0.2299,2,20,1.8,3.5,0.8795
0.7947,0.2644,0.2176,1,0.885,0.6431,0.3022,2,20,1.8,3.5,1.0
0.5305,0.5078,0.2344,16,0.5634,0.7454,0.7025,0,12,1.2,1.0,0.588
0.5022,0.5966,0.5763,4,0.1023,0.7711,0.1537,1,16,1.5,2.0,0.9343
0.7751,0.183,0.2732,36,0.5349,0.6191,0.332,2,20,1.8,3.5,0.6049
0.5344,0.5524,0.7943,9,0.651,0.7933,0.8928,3,18,1.6,2.5,0.5541
0.7451,0.2531,0.724,27,0.5776,0.6205,0.599,3,18,1.6,2.5,0.2565
0.2467,0.6262,0.4276,25,0.8209,0.1873,0.8644,2,20,1.8,3.5,0.6526
0.8599,0.2605,0.2326,5,0.5215,0.6879,0.5812,2,20,1.8,3.5,0.608
0.822,0.3587,0.3629,29,0.3813,0.5505,0.5912,3,18,1.6,2.5,0.2454
0.3846,0.1326,0.3677,25,0.1134,0.7585,0.8083,1,16,1.5,2.0,0.6511
0.5844,0.4536,0.2767,1,0.6308,0.1638,0.8128,0,12,1.2,1.0,0.628
0.6794,0.7742,0.264,6,0.2651,0.5158,0.3868,2,20,1.8,3.5,0.672
0.6876,0.3415,0.2737,43,0.2077,0.2643,0.119,3,18,1.6,2.5,0.1767
0.7602,0.781,0.6463,30,0.8116,0.7137,0.8114,1,16,1.5,2.0,0.4588
0.581,0.1173,0.5129,43,0.6908,0.7209,0.3537,3,18,1.6,2.5,0.2042
0.889,0.3138,0.2517,38,0.7138,0.5189,0.135,1,16,1.5,2.0,0.6588
0.6885,0.5822,0.3028,29,0.4259,0.3866,0.1815,0,12,1.2,1.0,0.543
0.8397,0.2151,0.5374,24,0.4272,0.5643,0.4639,1,16,1.5,2.0,0.8888
0.2149,0.6685,0.548,32,0.4003,0.2742,0.412,0,12,1.2,1.0,0.5689
0.5652,0.5742,0.4197,31,0.7741,0.4331,0.4464,2,20,1.8,3.5,0.6255
0.5841,0.5077,0.6423,26,0.1262,0.6615,0.6169,1,16,1.5,2.0,0.9446
0.1367,0.8521,0.6385,18,0.2608,0.5443,0.117,1,16,1.5,2.0,0.9163
