word,syllable_count,word_length,vowel_sign_count,consonant_cluster,freq_rank,rare_consonant,difficulty,error_type
ං,0,1,0,0,361,0,1,unfamiliar
අං,0,2,0,0,172,0,0,none
අංක,1,3,0,1,361,0,1,unfamiliar
අංශය,2,4,0,1,694,1,1,unfamiliar
අක්කා,2,5,1,1,361,0,1,unfamiliar
අක්කාගේ,3,7,2,1,361,0,1,vowel_sign
අක්ෂර,3,5,0,2,361,1,1,unfamiliar
අකිල,2,4,1,1,694,0,1,vowel_sign
අකුරු,2,5,2,1,97,0,0,none
අකුලේ,2,5,2,1,694,0,1,vowel_sign
අගේ,1,3,1,1,232,0,1,vowel_sign
අඩිතාලම,4,7,2,1,694,0,1,long_word
අඩුයි,2,5,2,1,694,0,1,vowel_sign
අත,1,2,0,1,694,0,1,unfamiliar
අතගානවා,4,7,2,1,361,0,1,long_word
අතට,2,3,0,1,694,0,1,unfamiliar
අතර,2,3,0,1,232,0,0,none
අත්,1,3,0,1,232,0,0,none
අත්තක,3,5,0,1,232,0,0,none
අත්තටු,3,6,1,1,694,0,1,unfamiliar
අත්තම්මයි,5,9,1,1,694,0,1,long_word
අත්තේ,2,5,1,1,361,0,1,vowel_sign
අත්දැකීම්,4,9,2,2,694,0,1,long_word
අත්පුඩි,3,7,2,2,232,0,1,vowel_sign
අත්පොඩි,3,7,2,2,694,0,1,vowel_sign
අති,1,3,1,1,694,0,1,vowel_sign
අතින්,2,5,1,1,694,0,1,vowel_sign
අතුවලනේ,4,7,2,1,694,0,1,long_word
අතේ,1,3,1,1,694,0,1,vowel_sign
අද,1,2,0,1,97,0,0,none
අදමයි,3,5,1,1,694,0,1,vowel_sign
අදයි,2,4,1,1,694,0,1,vowel_sign
අදහස,3,4,0,1,694,0,1,unfamiliar
අදහස්,3,5,0,1,694,0,1,unfamiliar
අධ්‍යක්ෂ,4,8,0,2,694,1,1,long_word
අධ්‍යාපන,4,8,1,2,15,1,1,long_word
අධ්‍යාපනය,5,9,1,2,694,1,1,long_word
අධ්‍යාපනයක්,6,11,1,2,694,1,1,long_word
අධ්‍යාපනයේ,5,10,2,2,232,1,1,long_word
අධීක්ෂණය,5,8,1,2,694,1,1,long_word
අන්තිම,3,6,1,2,694,0,1,vowel_sign
අන්න,2,4,0,1,127,0,0,none
අන්සතු,3,6,1,2,694,0,1,unfamiliar
අන්‍යෝන්‍ය,4,10,1,2,694,0,1,long_word
අනාගත,3,5,1,1,694,0,1,unfamiliar
අනාගතයක්,5,8,1,1,694,0,1,long_word
අනුප්‍රාණේ,4,10,3,2,694,0,1,long_word
අනුර,2,4,1,1,694,0,1,unfamiliar
අනුව,2,4,1,1,694,0,1,unfamiliar
අනුසාරයෙන්,5,10,3,1,694,0,1,long_word
අනූවයි,3,6,2,1,694,0,1,vowel_sign
අනෙක්,2,5,1,1,694,0,1,vowel_sign
අනේ,1,3,1,1,172,0,1,vowel_sign
අප,1,2,0,1,24,0,0,none
අපගේ,2,4,1,1,361,0,1,vowel_sign
අපට,2,3,0,1,97,0,0,none
අපහට,3,4,0,1,694,0,1,unfamiliar
අපි,1,3,1,1,7,0,1,vowel_sign
අපිට,2,4,1,1,694,0,1,vowel_sign
අපිත්,2,5,1,1,172,0,1,vowel_sign
අපියි,2,5,2,1,694,0,1,vowel_sign
අපූරු,2,5,2,1,694,0,1,unfamiliar
අපේ,1,3,1,1,53,0,1,vowel_sign
අපේක්ෂා,3,7,2,2,694,1,1,vowel_sign
අපේක්ෂිත,4,8,2,2,361,1,1,long_word
අබ්බෝව,3,6,1,1,694,0,1,vowel_sign
අමතක,3,4,0,1,694,0,1,unfamiliar
අම්මගෙන්,4,8,1,1,694,0,1,long_word
